movieId,cast,director,overview
2743,"Robert De Niro,Jeremy Irons,Ray McAnally,Aidan Quinn,Liam Neeson",Roland Joffé,"When a Spanish Jesuit goes into the South American wilderness to build a mission in the hope of converting the Indians of the region, a slave hunter is converted and joins his mission. When Spain sells the colony to Portugal, they are forced to defend all they have built against the Portugese aggressors."
2744,"Rick Moranis,Ellen Greene,Vincent Gardenia,Steve Martin,Tisha Campbell-Martin",Frank Oz,"Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day as Seymour is seeking a new mysterious plant, he finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper."
2745,"Jonathan Haze,Jackie Joseph,Mel Welles,Jack Nicholson,Leola Wendorff",Roger Corman,"Seymour works in a skid row florist shop and is in love with his beautiful co-worker, Audrey. He creates a new plant that not only talks but cannot survive without human flesh and blood."
2746,"Richard Chamberlain,Sharon Stone,James Earl Jones,Henry Silva,Robert Donner",Gary Nelson,"After his brother Robeson disappears without a trace while exploring Africa in search of a legendary 'white tribe', Allan Quatermain decides to follow in his footsteps to learn what became of him. Soon after arriving, he discovers the Lost City of Gold, controlled by the evil lord Agon, and mined by his legions of white slaves."
2747,"Jane Fonda,Jeff Bridges,Raúl Juliá,Diane Salinger,Richard Foronjy",Sidney Lumet,"Failed actress Alex Sternbergen wakes up hungover one morning in an apartment she does not recognize, unable to remember the previous evening -- and with a dead body in bed next to her. As she tries to piece together the events of the night, Alex cannot totally rely on friends or her estranged husband, Joaquin, for assistance. Only a single ally, loner ex-policeman Turner Kendall, can help her escape her predicament and find the true killer."
2748,"Woody Allen,Mia Farrow,Jeff Daniels,Larry David,Todd Field",Woody Allen,"The Narrator tells us how the radio influenced his childhood in the days before TV. In the New York City of the late 1930s to the New Year's Eve 1944, this coming-of-age tale mixes the narrator's experiences with contemporary anecdotes and urban legends of the radio stars."
2749,"Judd Nelson,Elizabeth Perkins,John Hurt,Darren McGavin,Dan Monahan",Bob Clark,"Apprentice lawyer Robin Weathers turns a civil suit into a headline grabbing charade. He must reexamine his scruples after his shenanigans win him a promotion in his firm, and he must now defend a college professor who is appearantly guilty of murder."
2750,"Shelley Long,Bette Midler,Peter Coyote,Robert Prosky,John Schuck",Arthur Hiller,"Refined actress Lauren Ames finally has a chance to study with the great theatre professor Stanislav Korzenowski. Sandy Brozinsky, a brash, loud actress, decides through happenstance to also study with Korzenowski. The two women end up dating the same man (who turns out to be a double agent) and follow him across the country to force him to choose between them."
2751,"Scott Valentine,Nicole Picard,Matt Mitler,Cathryn de Prume,Melissa Leo",Jeffery Delman,"A babysitting uncle tells his charges three horror stories--about a killer witch, Little Red Riding Hood and a werewolf, and a story about ""Goldi Lox"" and the three bears."
2752,"Jessica Lange,Kim Stanley,Sam Shepard,Bart Burns,Sarah Cunningham",Graeme Clifford,The true story of Frances Farmer's meteoric rise to fame in Hollywood and the tragic turn her life took when she was blacklisted.
2754,"Kirsten Dunst,Michelle Williams,Will Ferrell,Dan Hedaya,Bruce McCulloch",Andrew Fleming,"Comedy about two high school girls who wander off during a class trip to the White House and meet President Richard Nixon. They become the official dog walkers for Nixon's dog Checkers, and become his secret advisors during the Watergate scandal."
2757,"Eli Marienthal,Vin Diesel,Jennifer Aniston,Harry Connick Jr.,Christopher McDonald",Brad Bird,"In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices."
2759,"Bruce Willis,Toni Collette,Olivia Williams,Haley Joel Osment,Donnie Wahlberg",M. Night Shyamalan,"A psychological thriller about an eight year old boy named Cole Sear who believes he can see into the world of the dead. A child psychologist named Malcolm Crowe comes to Cole to help him deal with his problem, learning that he really can see ghosts of dead people."
2761,"Pierce Brosnan,Rene Russo,Denis Leary,Ben Gazzara,Frankie Faison",John McTiernan,"A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective."
2762,"Steve McQueen,Faye Dunaway,Paul Burke,Jack Weston,Biff McGuire",Norman Jewison,"Young businessman, Thomas Crown is bored and decides to plan a robbery and assigns a professional agent with the right information to the job. However, Crown is soon betrayed yet cannot blow his cover because he’s in love."
2763,"Ewen Bremner,Kevin McKidd,Stephen McCole,Jemma Redgrave,Martin Clunes",Paul McGuigan,"THE ACID HOUSE is a surreal triptych adapted by ""Trainspotting"" author Irvine Welsh from his acclaimed collection of short stories. Combining a vicious sense of humor with hard-talking drama, the film reaches into the hearts and minds of the chemical generation, casting a dark and unholy light into the hidden corners of the human psyche. Directed by Paul McGuigan, the film dramatises three stories from the book: 1- The Granton Star Cause, 2- A Soft Touch &amp; 3- The Acid House."
2764,"Adrian Grenier,Clark Gregg,Aleksa Palladino,Margaret Colin,John Shea",Tod Williams,"In June, 1983, in Dutchess County, New York, Sebastian Cole joins his mother, step-father, and sister for dinner. Hank, Sebastian's step-father, drops a bomb: he announces he's changing sexes. Sebastian's sister splits immediately for California, and his mother takes him back to England. Jump ahead eight months, Sebastian is back in New York, knocking on Hank's door. Hank (now Henrietta, although all the surgeries aren't complete) takes Sebastian in and is his rock over the next few months of high school. Sebastian's ""adventures"" are mostly self-destructive."
2765,"Mark Wahlberg,Joaquin Phoenix,Charlize Theron,James Caan,Ellen Burstyn",James Gray,"In the rail yards of Queens, contractors repair and rebuild the city's subway cars. These contracts are lucrative, so graft and corruption are rife. When Leo Handler gets out of prison, he finds his aunt married to Frank Olchin, one of the big contractors; he's battling with a minority-owned firm for contracts."
2766,"Steve Martin,Eddie Murphy,Heather Graham,Christine Baranski,Jamie Kennedy",Frank Oz,"On the verge of bankruptcy and desperate for his big break, aspiring filmmaker Bobby Bowfinger concocts a crazy plan to make his ultimate dream movie. Rallying a ragtag team that includes a starry-eyed ingenue, a has-been diva and a film studio gofer, he sets out to shoot a blockbuster featuring the biggest star in Hollywood, Kit Ramsey -- only without letting Ramsey know he's in the picture."
2769,"Claire Danes,Kate Beckinsale,Bill Pullman,Jacqueline Kim,Lou Diamond Phillips",Jonathan Kaplan,"Best friends Alice and Darlene take a trip to Thailand after graduating high school. In Thailand, they meet a captivating Australian man, who calls himself Nick Parks. Darlene is particularly smitten with Nick and convinces Alice to take Nick up on his offer to treat the two of them to what amounts to a day trip to Hong Kong. In the airport, the girls are seized by the police and shocked to discover that one of their bags contains heroin."
2770,"Giuseppe Andrews,James DeBello,Edward Furlong,Sam Huntington,Lin Shaye",Adam Rifkin,"In 1978, a Kiss concert was an epoch-making event. For the three teen fans in Detroit Rock City getting tickets to the sold-out show becomes the focal point of their existence. They'll do anything for tickets -- compete in a strip club's amateur-night contest, take on religious protesters, even rob a convenience store!"
2771,"Karyn Dwyer,Christina Cox,Wendy Crewson,Ann-Marie MacDonald,Peter Outerbridge",Anne Wheeler,"Not long after moving into her own place, Maggie finds herself with two unsolicited roommates: her recently divorced mother, Lila, and her young brother. The timing is especially bad, considering Maggie has fallen hard for an attractive woman, Kim, only hours before they move in. What could be a nonissue becomes increasingly complicated -- since Maggie's family is unaware of her sexual orientation, and Maggie is not open to sharing that information."
2772,"Alex Dimitriades,Paul Capsis,Julian Garner,Elena Mandalis,Tony Nikolakopoulos",Ana Kokkinos,"Nineteen-year-old Ari confronts both his sexuality and his Greek family. Ari despises his once-beloved parents, former radical activists, for having entombed themselves in insular tradition. Ari is obsessed with gay sex, although he does make an unenthusiastic attempt to satisfy the sister of one of his best friends. While all of this is going on, he's facing problems with his traditional Greek parents, who have no clue about his sexual activities."
2774,"Warren Beatty,Julie Christie,James Mason,Jack Warden,Charles Grodin","Warren Beatty,Buck Henry","Joe Pendleton is a quarterback preparing to lead his team to the superbowl when he is almost killed in an accident. An overanxious angel plucks him to heaven only to discover that he wasn't ready to die, and that his body has been cremated. A new body must be found, and that of a recently murdered millionaire is chosen. His wife and accountant, the murderers, are confused by this development, as he buys the L.A. Rams in order to once again quarterback them into the Superbowl."
2775,"Vincent Price,John Kerr,Luana Anders,Antony Carbone",Roger Corman,"Francis Barnard goes to Spain, when he hears his sister Elizabeth has died. Her husband Nicholas Medina, the son of the most brutal torturer of the Spanish Inquisition, tells him she has died of a blood disease, but Francis finds this hard to believe. After some investigating he finds out that it was extreme fear that was fatal to his sister and that she may have been buried alive!"
2779,"Vincent Price,Hazel Court,Jane Asher,David Weston,Nigel Green",Roger Corman,"Satan-worshiper Prince Prospero invites the local nobility to his castle for protection against an oncoming plague, the Red Death. He orders his guests to attend a masked ball and, amidst an atmosphere of debauchery and depravity, notices the entry of a hooded stranger dressed all in red. Believing the figure to be his master, Satan, Prospero is horrified at the revelation of his true identity."
2782,"Gene Wilder,Gilda Radner,Dom DeLuise,Jonathan Pryce,Eve Ferret",Gene Wilder,"Larry Abbot, speaker in the radio horror shows of Manhattan Mystery Theater wants to marry. For the marriage he takes his fiancée home to the castle where he grew up among his eccentric relatives. His uncle decides that he needs to be cured from a neurotic speech defect and exaggerated bursts of fear: he gives him a shock therapy with palace ghosts."
2784,"Drew Barrymore,James Woods,Alan King,Kenneth McMillan,Robert Hays",Lewis Teague,"Three short stories by shock-meister Stephen King are linked by a stray cat that roams from one tale to the next in this creepy triptych that begins as Dick (James Woods) tries to quit smoking by any means necessary. Next, we meet Johnny, an adulterous man who's forced by his lover's husband onto a building's hazardous ledge. Finally, Amanda is threatened by an evil gnome who throws suspicion on the family cat."
2786,"Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,Terry Jones",Ian MacNaughton,A collection of Monty Python's Flying Circus skits from the first two seasons of their British TV series.
2787,"William Holden,Lee Grant,Jonathan Scott-Taylor,Robert Foxworth,Lance Henriksen","Don Taylor,Mike Hodges","Since the sudden and highly suspicious death of his parents, 12-year-old Damien has been in the charge of his wealthy aunt and uncle (Lee Grant and William Holden). Widely feared to be the Antichrist, Damien relentlessly plots to seize control of his uncle's business empire - and the world. Meanwhile, anyone attempting to unravel the secrets of Damien's sinister past or fiendish future meets with a swift and cruel demise."
2788,"Sam Neill,Rossano Brazzi,Don Gordon,Lisa Harrow,Barnaby Holm",Graham Baker,"Damien Thorn (Sam Neill) has helped rescue the world from a recession, appearing to be a benign corporate benefactor. When he then becomes U.S. Ambassador to England, Damien fulfills a terrifying biblical prophecy. He also faces his own potential demise as an astronomical event brings about the second coming of Christ."
2789,"Robert Hays,Julie Hagerty,Kareem Abdul-Jabbar,Lloyd Bridges,Peter Graves","Jim Abrahams,David Zucker,Jerry Zucker","Alcoholic pilot, Ted Striker has developed a fear of flying due to wartime trauma, but nevertheless boards a passenger jet in an attempt to woo back his stewardess girlfriend. Food poisoning decimates the passengers and crew, leaving it up to Striker to land the plane with the help of a glue-sniffing air traffic controller and Striker's vengeful former Air Force captain, who must both talk him down."
2790,"Robert Hays,Julie Hagerty,Lloyd Bridges,Chad Everett,Peter Graves",Ken Finkleman,"A faulty computer causes a passenger space shuttle to head straight for the sun, and man-with-a-past, Ted Striker must save the day and get the shuttle back on track – again – all the while trying to patch up his relationship with Elaine."
2791,"Tom Everett Scott,Julie Delpy,Vince Vieluf,Julie Bowen,Phil Buckman",Anthony Waller,An American man unwittingly gets involved with werewolves who have developed a serum allowing them to transform at will.
2792,"Chevy Chase,Beverly D'Angelo,Dana Hill,Jason Lively,Eric Idle",Amy Heckerling,"The Griswalds win a vacation to Europe on a game show, and thus pack their bags for the continent. They do their best to catch the flavor of Europe, but they just don't know how to be be good tourists. Besides, they have trouble taking holidays in countries where they CAN speak the language."
2793,"Chevy Chase,Beverly D'Angelo,Imogene Coca,Randy Quaid,Anthony Michael Hall",Harold Ramis,"Clark Griswold is on a quest to take his family on a quest to Walley World theme park for a vacation, but things don't go exactly as planned."
2794,"Chevy Chase,Madolyn Smith Osborne,Kevin O'Morrison,Joseph Maher,Jack Gilpin",George Roy Hill,"Chevy Chase stars as Andy Farmer, a sportswriter who moves with his schoolteacher wife Elizabeth (Madolyn Smith) to the country in order to write a novel in relative seclusion. Of course, seclusion is the last thing the Farmers find in the small, eccentric town, where disaster awaits them at every turn."
2795,"Tom Hanks,Elizabeth Perkins,Robert Loggia,John Heard,Jared Rushton",Penny Marshall,When a young boy makes a wish at a carnival machine to be big—he wakes up the following morning to find that it has been granted and his body has grown older overnight. But he is still the same 13-year-old boy inside. Now he must learn how to cope with the unfamiliar world of grown-ups including getting a job and having his first romantic encounter with a woman.
2796,"John Ritter,Jack Warden,Michael Oliver,Gilbert Gottfried,Michael Richards",Dennis Dugan,"Ben Healy (John Ritter) and his social climbing wife Flo adopt Junior a fun-loving seven year old. But they soon discover he's a little monster as he turns a camping trip, a birthday party and even a baseball game into comic nightmares. But is he really just a little angel trying to get out? Find out in this hilarious satire on modern-day family life."
2797,"John Ritter,Michael Oliver,Jack Warden,Laraine Newman,Amy Yasbeck",Brian Levant,"Junior and his father, Ben, move from Cold River to Mortville. Junior becomes threatened by Ben's desire to date again and find a new mother for Junior, and sabotages each of his dates."
2798,"Gabriel Damon,Mickey Rooney,Rene Auberjonois,Danny Mann,Laura Mooney","Masami Hata,William T. Hurtz","A little boy whose dreams transcend reality is sucked into his own fantasy, which is everything he has dreamed of, until he unleashes an old secret that may not only destroy this perfect dream world but reality itself."
2799,"Ralph Fiennes,Cate Blanchett,Ciarán Hinds,Tom Wilkinson,Richard Roxburgh",Gillian Armstrong,"After a childhood of abuse by his evangelistic father, misfit Oscar Hopkins becomes an Anglican minister and develops a divine obsession with gambling. Lucinda Leplastrier is a rich Australian heiress shopping in London for materials for her newly acquired glass factory back home. Deciding to travel to Australia as a missionary, Oscar meets Lucinda aboard ship, and a mutual obsession blossoms. They make a wager that will alter each of their destinies."
2800,"Mel Gibson,Kurt Russell,J.T. Walsh,Michelle Pfeiffer,Raúl Juliá",Robert Towne,"In a seaside California town, best friends Mac and Nick are on opposite sides of the law. Mac is a former drug dealer trying to clean up his act, while Nick is a high-profile detective trying to take down a Mexican drug lord named Carlos. Soon Nick's loyalties are put to the test when he begins an affair with restaurateur Jo Ann  -- a love interest of Mac's -- unwittingly leading his friend into a police-orchestrated trap."
2801,"Julia Roberts,Denzel Washington,Sam Shepard,John Heard,Tony Goldwyn",Alan J. Pakula,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.
2802,"Melinda Dillon,Darren McGavin,Peter Billingsley,Jean Shepherd,Ian Petrella",Bob Clark,"The comic mishaps and adventures of a young boy named Ralph, trying to convince his parents, teachers, and Santa that a Red Ryder B.B. gun really is the perfect Christmas gift for the 1940s."
2803,"Hugh Grant,James Caan,Jeanne Tripplehorn,Burt Young,James Fox",Kelly Makin,"An English auctioneer proposes to the daughter of a mafia kingpin, only to realize that certain ""favors"" would be asked of him."
2804,"Helen Mirren,Katie Holmes,Jeffrey Tambor,Molly Ringwald,Vivica A. Fox",Kevin Williamson,"Leanne is salutatorian when she needs to be valedictorian to get her scholarship to Harvard. The only class she is worse than the leader in is history, taught by Mrs. Tingle, and the teacher hates her. When an attempt to get ahead in Mrs. Tingle's class goes awry, mayhem ensues and friendships, loyalties and trust are tested by the teacher's intricate mind-games."
2805,"Jean-Claude Van Damme,Kiana Tom,Bill Goldberg,Michael Jai White,Heidi Schanz",Mic Rodgers,"Luc Deveraux, the heroic former Universal Soldier, is about to be thrown into action once again. When Seth (Michael Jai White), the supercomputer controlled ultra-warrior, decides to take revenge and destroy its creators, only Luc can stop it. All hell breaks loose as Luc battles Seth and a deadly team of perfect soldiers in a struggle that pits man against machine and good against evil."
2806,"Jean-Claude Van Damme,Dolph Lundgren,Ally Walker,Ed O'Ross,Ralf Moeller",Roland Emmerich,"An American soldier who had been killed during the Vietnam War is revived 25 years later by the military as a semi-android, UniSols, a high-tech soldier of the future. After the failure of the initiative to erase all the soldier's memories, he begins to experience flashbacks that are forcing him to recall his past."
2807,"Junko Iwao,Rica Matsumoto,Shinpachi Tsuji,Masaaki Ōkura,Yōsuke Akimoto",Satoshi Kon,A retired pop singer turned actress' sense of reality is shaken when she is stalked by an obsessed fan and seemingly a ghost of her past.
2808,"Omar Epps,LL Cool J,Nia Long,Stanley Tucci,Hill Harper",Michael Rymer,A fearless cop is taking on a ruthless crimelord. He knew the risks. He just didn't know how far he would have to go.
2810,"Dennis Hopper,John Turturro,Steve Martin",Chuck Workman,"Traces the Beats from Allen Ginsberg and Jack Kerouac's meeting in 1944 at Columbia University to the deaths of Ginsberg and William S. Burroughs in 1997. Three actors provide dramatic interpretations of the work of these three writers, and the film chronicles their friendships, their arrival into American consciousness, their travels, frequent parodies, Kerouac's death, and Ginsberg's politicization. Their movement connects with bebop, John Cage's music, abstract expressionism, and living theater. In recent interviews, Ginsberg, Burroughs, Kesey, Ferlinghetti, Mailer, Jerry Garcia, Tom Hayden, Gary Snyder, Ed Sanders, and others measure the Beats' meaning and impact."
2812,"Louis Gossett Jr.,Jason Gedrick,Tim Thomerson,Larry B. Scott,Shawnee Smith",Sidney J. Furie,"When Doug's father, an Air Force Pilot, is shot down by MiGs belonging to a radical Middle Eastern state, no one seems able to get him out. Doug finds Chappy, an Air Force Colonel who is intrigued by the idea of sending in two fighters piloted by himself and Doug to rescue Doug's father after bombing the MiG base."
2813,"Louis Gossett Jr.,Mark Humphrey,Stuart Margolin,Alan Scarfe",Sidney J. Furie,Chappy Sinclair is called to gather together a mixed Soviet/U.S. strike force that will perform a surgical strike on a massively defended nuclear missile site in the Middle East. Chappy finds that getting the Soviet and U.S. Pilots to cooperate is only the most minor of his problems as he discovers someone in the Pentagon is actively sabotaging his mission.
2815,"Louis Gossett Jr.,Rachel McLish,Paul Freeman,Horst Buchholz,Christopher Cazenove",John Glen,"Chappy discovers a drug-smuggling scheme at his own air base. It turns out that the lives of some village people in Peru are at stake, and he decides to fly there with ancient airplanes and friends to free them."
2816,"Louis Gossett Jr.,Jason Cadieux,Joanne Vannicola,Max Piersig,Karen Gayle",Sidney J. Furie,"While Chappy Sinclair is saddled with a bunch of misfits and delinquents for his flight school, he turns to his protégé Doug Masters to assist him in rounding them into shape for an important competition. During their training, they stumble upon a group of subversive air force officers who are dealing in toxic waste as a sideline."
2817,"Robert Redford,Faye Dunaway,Cliff Robertson,Max von Sydow,John Houseman",Sydney Pollack,"A bookish CIA researcher finds all his co-workers dead, and must outwit those responsible until he figures out who he can really trust."
2818,"Richard Burton,Hume Cronyn,Alfred Drake,Eileen Herlie,William Redfield","Bill Colleran,John Gielgud",A stage production of Hamlet filmed at the Lunt-Fontanne Theatre in New York.
2819,"Sean Connery,Lorraine Bracco,José Wilker,Rodolfo De Alexandre,Francisco Tsiren Tsere Rereme",John McTiernan,"An eccentric scientist working for a large drug company is working on a research project in the Amazon jungle. He sends for a research assistant and a gas chromatograph because he's close to a cure for cancer. When the assistant turns out to be a ""mere woman,"" he rejects her help. Meanwhile the bulldozers get closer to the area in which they are conducting research, and they eventually learn to work together, and begin falling in love."
2820,,"Nanette Burstein,Brett Morgen",The story of three young boxers and their coach who is determined to guide them in a positive direction in and out of the ring.
2822,"Antonio Banderas,Diane Venora,Dennis Storhøi,Vladimir Kulich,Omar Sharif",John McTiernan,"A Muslim ambassador exiled from his homeland, Ahmad ibn Fadlan finds himself in the company of Vikings. While the behavior of the Norsemen initially offends ibn Fadlan, the more cultured outsider grows to respect the tough, if uncouth, warriors. During their travels together, ibn Fadlan and the Vikings get word of an evil presence closing in, and they must fight the frightening and formidable force, which was previously thought to exist only in legend."
2824,"Johnny Depp,Charlize Theron,Joe Morton,Clea DuVall,Nick Cassavetes",Rand Ravich,"When astronaut Spencer Armacost returns to Earth after a mission that nearly cost him his life, he decides to take a desk job in order to see his beautiful wife, Jillian, more often. Gradually, Jillian notices that Spencer's personality seems to have changed, but her concerns fade when she discovers that she's pregnant. As Jillian grows closer to becoming a mother, her suspicions about Spencer return. Why does it seem as if he's a different person?"
2826,"Brendan Fraser,Sarah Jessica Parker,Alfred Molina,Eric Idle,Robert Prosky",Hugh Wilson,"Based on the 60's-era cartoon of the same name. Royal Canadian Mountie Dudley Do-right is busy keeping the peace in his small mountain town when his old rival, Snidely Whiplash, comes up with a plot to buy all the property in town, then start a phony gold rush by seeding the river with gold nuggets. Can this well-meaning (though completely incompetent) Mountie stop Whiplash's evil plan?"
2827,"Albert Brooks,Sharon Stone,Andie MacDowell,Jeff Bridges,Cybill Shepherd",Albert Brooks,"What happens when a screenwriter (Brooks) loses his edge, he turns to anyone he can for help... even if it's the mythical ""Zeus's Daughter"" (Stone). And he's willing to pay, albeit reluctantly, whatever price it takes to satisfy this goddess, especially when her advice gets him going again on a sure-fire script. However, this is not the limit of her help, she also gets the writer's wife (MacDowell) going on her own bakery enterprise, much to the chagrin of Brooks, who has already had to make many personal sacrifices for his own help."
2828,"Cuba Gooding Jr.,Skeet Ulrich,Peter Firth,David Paymer",Hugh Johnson,A store clerk and an ice cream truck driver are thrown together when a dying scientist entrusts them with a deadly chemical kept in ice. This chemical will kill every living thing once it melts. They have to take the chemical codenamed 'Elvis' to the next nearest military base while being chased by terrorists who want it to hold the country for ransom.
2829,"Shawn Hatosy,Amy Smart,Alec Baldwin,Jon Abrahams,Richard Jenkins",Michael Corrente,"In this coming-of-age comedy, Tim Dunphy is leading a go-nowhere existence, spending his days smoking pot and hanging out with his best friend, Drugs Delaney. But Tim's lazy days of getting high are jettisoned after a brush with the law convinces his blue-collar dad to send him to a Connecticut prep school. The one saving grace of the new school is Jane, a fellow student Tim falls for immediately."
2835,"Kevin McKidd,James Purefoy,Jennifer Ehle,Tom Hollander,Harriet Walter",Rose Troche,"At the suggestion of a friend, gay Leo (Kevin McKidd) enters therapy after many failed relationships make him fear for his social life. In a group session (led by Simon Callow), Leo comes clean about his feelings for a straight member of the group (James Purefoy), which leads to an affair between the two. The situation becomes further complicated by the appearance of Leo's high school sweetheart (Jennifer Ehle), who still has feelings for him."
2836,"Rami Doueiri,Naamar Sahli,Mohamad Chamas,Rola Al Amin",Ziad Doueiri,"In April, 1975, civil war breaks out; Beirut is partitioned along a Moslem-Christian line. Tarek is in high school, making Super 8 movies with his friend, Omar. At first the war is a lark: school has closed, the violence is fascinating, getting from West to East is a game. His mother wants to leave; his father refuses. Tarek spends time with May, a Christian, orphaned and living in his building. By accident, Tarek goes to an infamous brothel in the war-torn Olive Quarter, meeting its legendary madam, Oum Walid. He then takes Omar and May there using her underwear as a white flag for safe passage. Family tensions rise. As he comes of age, the war moves inexorably from adventure to tragedy."
2837,"Patricia Arquette,Gabriel Byrne,Jonathan Pryce,Nia Long,Thomas Kopache",Rupert Wainwright,"A young woman with no strong religious beliefs, Frankie Paige begins having strange and violent experiences, showing signs of the wounds that Jesus received when crucified. When the Vatican gets word of Frankie's situation, a high-ranking cardinal requests that the Rev. Andrew Kiernan investigate her case. Soon Kiernan realizes that very sinister forces are at work, and tries to rescue Frankie from the entity that is plaguing her."
2839,"Kevin Bacon,Kathryn Erbe,Illeana Douglas,Kevin Dunn,Conor O'Farrell",David Koepp,"After being hypnotized by his sister in law, Tom Witzky begins seeing haunting visions of a girl's ghost and a mystery begins to unfold around her."
2840,"Bajram Severdzhan,Srđan Todorović,Zabit Memedov,Florijan Ajdini,Branka Katić",Emir Kusturica,"Matko is a small time hustler, living by the Danube with his 17 year old son Zare. After a failed business deal he owes money to the much more successful gangster Dadan. Dadan has a sister, Afrodita, that he desperately wants to see get married so they strike a deal: Zare is to marry her."
2841,"Owen Wilson,Brian Cox,Sheryl Crow,Dwight Yoakam,Dennis Haysbert",Hampton Fancher,"The Minus Man is a 1999 film based on the novel by Lew McCreary. It was directed by Hampton Fancher, who also wrote the screenplay. The film centers on a psychotic killer whom Fancher describes as ""a cross between Psycho's Norman Bates, Melville's Billy Budd and Being There's Chauncey Gardner"""
2843,"Dudley Moore,Kyoko Koizumi,Milo,Otis,Shigeru Tsuyuki",Masanori Hata,"The story of two animals and their adventures. Milo, the cat, and Otis, the dog, are two animals who grew up together on the same farm. One day, the two are separated and begin a journey to find each other. The adventurous, and often perilous quest finds the two animals traveling across mountains, plains, and snow-covered lands searching for one another."
2844,"Cary Grant,Jean Arthur,Richard Barthelmess,Rita Hayworth,Thomas Mitchell",Howard Hawks,"Geoff Carter is the head of a crumbling air freight service in desperate need of a replacement pilot. He is forced to hire a descredited aviator who arrives with his wife, Carter's ex-lover. Meanwhile, traveler Bonnie Lee tries to get close to the emotionally closed-off Carter."
2846,"Orson Welles,Micheál MacLiammóir,Robert Coote,Suzanne Cloutier,Hilton Edwards",Orson Welles,"When a secret marriage is planned between Othello, a Moorish general, and Desdemona, the daughter of Senator Brabantio, her old suitor Roderigo takes it hard. He allies himself with Iago, who has his own grudge against Othello, and the two conspire to bring Othello down. When their first plan, to have him accused of witchcraft, fails, they plant evidence intended to make him believe Desdemona is unfaithful."
2847,"Howard Rollins,Adolph Caesar,Art Evans,Robert Townsend,Denzel Washington",Norman Jewison,"In a rural town in Louisiana, a black Master Sergeant is found shot to death just outside the local Army Base. A military lawyer, also a black man, is sent from Washington to conduct an investigation. Facing an uncooperative chain of command and fearful black troops, Captain Davenport must battle with deceit and prejudice in order to find out exactly who really did kill Sergeant Waters."
2848,"Joan Crawford,John Ireland,Leif Erickson,Sara Lane,Andi Garrett",William Castle,"When two teenagers make prank phone calls to strangers, they become the target for terror when they whisper ""I Saw What You Did, And I Know Who You Are!"" to psychopath Steve Marek who has just murdered his wife. But somebody else knows of the terrible crime that was committed that night, the killer's desperately amorous neighbor Amy Nelson."
2851,"Paul Angelis,John Clive,Geoffrey Hughes,Peter Batten,Dick Emery",George Dunning,"The Blue Meanies take over Pepperland, draining it of all its color and music, firing anti-music missiles, bonking people with green apples, and turning the inhabitants to stone by way of the pointed finger of a giant blue glove. As the only survivor, the Lord Admiral escapes in the yellow submarine and goes to Liverpool to enlist the help of the Beatles."
2852,"Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley,Mena Suvari",Sam Mendes,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend."
2856,"David Byrne,Tina Weymouth,Chris Frantz,Jerry Harrison,Steven Scales",Jonathan Demme,"A concert film documenting Talking Heads at the height of their popularity, on tour for their 1983 album ""Speaking in Tongues."" The band takes the stage one by one and is joined by a cadre of guest musicians for a career-spanning and cinematic performance that features creative choreography and visuals."
2857,"Martin Lawrence,Luke Wilson,Dave Chappelle,Peter Greene,Nicole Ari Parker",Les Mayfield,"Miles Logan is a jewel thief who just hit the big time by stealing a huge diamond. However, after two years in jail, he comes to find out that he hid the diamond in a police building that was being built at the time of the robbery. In an attempt to regain his diamond, he poses as a LAPD detective"
2858,"Kevin Costner,Kelly Preston,John C. Reilly,Jena Malone,J.K. Simmons",Sam Raimi,"A baseball legend almost finished with his distinguished career at the age of forty has one last chance to prove who he is, what he is capable of, and win the heart of the woman he has loved for the past four years."
2859,"Malcolm McDowell,Teresa Ann Savoy,Helen Mirren,Peter O'Toole,John Gielgud",Tinto Brass,"The perversion behind imperial Rome, the epic story of Rome's mad Emporer. All the details of his cruel, bizarre reign are revealed right here: His unholy sexual passion for his sister, his marriage to Rome's most infamous prostitute, his fiendishly inventive means of disposing those who would oppose him, and more."
2860,"John Lennon,Paul McCartney,George Harrison,Ringo Starr,Wilfrid Brambell",Richard Lester,"Capturing John Lennon, Paul McCartney, George Harrison and Ringo Starr in their electrifying element, 'A Hard Day's Night' is a wildly irreverent journey through this pastiche of a day in the life of The Beatles during 1964. The band have to use all their guile and wit to avoid the pursuing fans and press to reach their scheduled television performance, in spite of Paul's troublemaking grandfather and Ringo's arrest."
